,P,Length
5799,polype,6
5800,polypean,8
5801,polyperythrin,13
5802,polypetalous,12
5803,polyphagous,11
5804,polyphagy,9
5805,polypharmacy,12
5806,polyphemus,10
5807,polyphone,9
5808,polyphonic,10
5809,polyphonism,11
5810,polyphonist,11
5811,polyphonous,11
5812,polyphony,9
5813,polyphore,9
5814,polyphyletic,12
5815,polyphyllous,12
5816,polypi,6
5817,polypide,8
5818,polypidom,9
5819,polypier,8
5820,polypifera,10
5821,polypiferous,12
5822,polypiparous,12
5823,polypite,8
5824,polyplacophora,14
5825,polyplastic,11
5826,polypode,8
5827,polypodium,10
5828,polypody,8
5829,polypoid,8
5830,polypomedusae,13
5831,polyporous,10
5832,polypori,8
5833,polyporus,9
5834,polypous,8
5835,polypragmatic,13
5836,polypragmatical,15
5837,polypragmaty,12
5838,polyprotodonta,14
5839,polypteroidei,13
5840,polypterus,10
5841,polyptoton,10
5842,polypuses,9
5843,polypus,7
5844,polyrhizous,11
5845,polyschematist,14
5846,polyscope,9
5847,polysepalous,12
5848,polysilicic,11
5849,polyspast,9
5850,polyspermous,12
5851,polyspermy,10
5852,polysporous,11
5853,polystomata,11
5854,polystome,9
5855,polystyle,9
5856,polysulphide,12
5857,polysulphuret,13
5858,polysyllabic,12
5859,polysyllabical,14
5860,polysyllabicism,15
5861,polysyllabicity,15
5862,polysyllabism,13
5863,polysyllable,12
5864,polysyndetic,12
5865,polysyndeton,12
5866,polysynthesis,13
5867,polysynthetic,13
5868,polsyntheticism,15
5869,polytechnic,11
5870,polytechnical,13
5871,polytechnics,12
5872,polythalamia,12
5873,polythalamous,13
5874,polytheism,10
5875,polytheist,10
5876,polytheistic,12
5877,polytheistical,14
5878,polytheize,10
5879,polythelism,11
5880,polytocous,10
5881,polytomous,10
5882,polytomy,8
5883,polytungstate,13
5884,polytungstic,12
5885,polytype,8
5886,polytyped,9
5887,polytyping,10
5888,poluria,7
5889,polyvalent,10
5890,polyve,6
5891,polyzoa,7
5892,polyzoan,8
5893,polyzoaria,10
5894,polyzoarium,11
5895,polyzoary,9
5896,polyzonal,9
5897,polyzoon,8
5898,pomace,6
5899,pomacentroid,12
5900,pomaceous,9
5901,pomade,6
5902,pomander,8
5903,pomarine,8
5904,pomatum,7
5905,pome,4
5906,pomegranate,11
5907,pomel,5
5908,pomelo,6
5909,pomely,6
5910,pomeranian,10
5911,pomewater,9
5912,pomeys,6
5913,pomey,5
5914,pomfret,7
5915,pomiferous,10
5916,pommage,7
5917,pomme,5
5918,pommel,6
5919,pommeled,8
5920,pommelled,9
5921,pommeling,9
5922,pommelling,10
5923,pommelion,9
5924,pommette,8
5925,pomological,11
5926,pomologist,10
5927,pomology,8
5928,pomona,6
5929,pomp,4
5930,pompadour,9
5931,pompano,7
5932,pompatic,8
5933,pompelmouses,12
5934,pompelmous,10
5935,pompet,6
5936,pompholyx,9
5937,pompillion,10
5938,pompion,7
5939,pompire,7
5940,pompoleon,9
5941,pompon,6
5942,pomposities,11
5943,pomposity,9
5944,pomposo,7
5945,pompous,7
5946,pomptine,8
5947,pomwater,8
5948,ponchos,7
5949,poncho,6
5950,pond,4
5951,pondered,8
5952,pondering,9
5953,ponder,6
5954,ponderability,13
5955,ponderable,10
5956,ponderal,8
5957,ponderance,10
5958,ponderary,9
5959,ponderate,9
5960,ponderation,11
5961,ponderer,8
5962,ponderosities,13
5963,ponderosity,11
5964,ponderous,9
5965,ponderously,11
5966,ponderousness,13
5967,pondfish,8
5968,pondweed,8
5969,pone,4
5970,ponent,6
5971,pongee,6
5972,ponghee,7
5973,pongo,5
5974,poniard,7
5975,poniarded,9
5976,poniarding,10
5977,ponibility,10
5978,pontes,6
5979,pons,4
5980,pontage,7
5981,pontee,6
5982,pontic,6
5983,pontifices,10
5984,pontifex,8
5985,pontiff,7
5986,pontific,8
5987,pontifical,10
5988,pontificality,13
5989,pontifically,12
5990,pontificate,11
5991,pontifice,9
5992,pontificial,11
5993,pontifician,11
5994,pontil,6
5995,pontile,7
5996,pontine,7
5997,pontlevis,9
5998,ponton,6
5999,pontoon,7
6000,pontooning,10
6001,ponvolant,9
6002,ponty,5
6003,ponies,6
6004,pony,4
6005,pood,4
6006,poodle,6
6007,pooh,4
6008,pookoo,6
6009,pool,4
6010,pooled,6
6011,pooling,7
6012,pooler,6
6013,poon,4
6014,poonac,6
6015,poop,4
6016,pooped,6
6017,pooping,7
6018,poor,4
6019,poorbox,7
6020,poorhouse,9
6021,poorliness,10
6022,poorly,6
6023,poorness,8
6024,pop,3
6025,popped,6
6026,popping,7
6027,pope,4
6028,popedom,7
6029,popeling,8
6030,popelote,8
6031,popery,6
6032,popet,5
6033,popgun,6
6034,popinjay,8
6035,popish,6
6036,poplar,6
6037,poplexy,7
6038,poplin,6
6039,popliteal,9
6040,poplitic,8
6041,popper,6
6042,poppet,6
6043,poppied,7
6044,popple,6
6045,poppies,7
6046,poppy,5
6047,poppyhead,9
6048,populace,8
6049,populacy,8
6050,popular,7
6051,populares,9
6052,popularities,12
6053,popularity,10
6054,popularization,14
6055,popularized,11
6056,popularizing,12
6057,popularize,10
6058,popularizer,11
6059,popularly,9
6060,popularness,11
6061,populate,8
6062,populated,9
6063,populating,10
6064,population,10
6065,populator,9
6066,populicide,10
6067,populin,7
6068,populosity,10
6069,populous,8
6070,poraille,8
6071,porbeagle,9
6072,porcate,7
6073,porcelain,9
6074,porcelainized,13
6075,porcelaneous,12
6076,porcellaneous,13
6077,porcelanite,11
6078,porcelanous,11
6079,porcellanous,12
6080,porch,5
6081,porcine,7
6082,porcupine,9
6083,pore,4
6084,pored,5
6085,poring,6
6086,poreblind,9
6087,porer,5
6088,porgies,7
6089,porgy,5
6090,porifera,8
6091,poriferan,9
6092,poriferata,10
6093,poriform,8
6094,porime,6
6095,poriness,8
6096,porism,6
6097,porismatic,10
6098,porismatical,12
6099,poristic,8
6100,poristical,10
6101,porite,6
6102,porites,7
6103,pork,4
6104,porker,6
6105,porket,6
6106,porkling,8
6107,porkwood,8
6108,pornerastic,11
6109,pornographic,12
6110,pornography,11
6111,porosity,8
6112,porotic,7
6113,porous,6
6114,porously,8
6115,porousness,10
6116,porpentine,10
6117,porpesse,8
6118,porphyraceous,13
6119,porphyre,8
6120,porphyrite,10
6121,porphyritic,11
6122,porphyrization,14
6123,porphyrize,10
6124,porphyrogenitism,16
6125,porphyries,10
6126,porphyry,8
6127,porpita,7
6128,porpoise,8
6129,porporino,9
6130,porpus,6
6131,porraceous,10
6132,porrect,7
6133,porrection,10
6134,porret,6
6135,porridge,8
6136,porringer,9
6137,port,4
6138,ported,6
6139,porting,7
6140,portae,6
6141,porta,5
6142,portability,11
6143,portable,8
6144,portableness,12
6145,portace,7
6146,portage,7
6147,portague,8
6148,portal,6
6149,portamento,10
6150,portance,8
6151,portass,7
6152,portate,7
6153,portative,9
6154,portcluse,9
6155,portcrayon,10
6156,portcullis,10
6157,portcullised,12
6158,portcullising,13
6159,porte,5
6160,portegue,8
6161,portemonnaie,12
6162,portended,9
6163,portending,10
6164,portend,7
6165,portension,10
6166,portent,7
6167,portentive,10
6168,portentous,10
6169,porter,6
6170,porterage,9
6171,porteress,9
6172,porterhouse,11
6173,portesse,8
6174,portfire,8
6175,portfolio,9
6176,portglave,9
6177,portgreve,9
6178,portgrave,9
6179,porthole,8
6180,porthook,8
6181,porthors,8
6182,porticoes,9
6183,porticos,8
6184,portico,7
6185,porticoed,9
6186,portiere,8
6187,portigue,8
6188,portingal,9
6189,portion,7
6190,portioned,9
6191,portioning,10
6192,portioner,9
6193,portionist,10
6194,portionless,11
6195,portise,7
6196,portlast,8
6197,portliness,10
6198,portly,6
6199,portmen,7
6200,portman,7
6201,portmanteaus,12
6202,portmanteau,11
6203,portmantle,10
6204,portmote,8
6205,portoir,7
6206,portoise,8
6207,portos,6
6208,portpane,8
6209,portrait,8
6210,portraitist,11
6211,portraiture,11
6212,portrayed,9
6213,portraying,10
6214,portray,7
6215,portrayal,9
6216,portrayer,9
6217,portreeve,9
6218,portress,8
6219,portsale,8
6220,portuary,8
6221,portuguese,10
6222,portulaca,9
6223,portulacaceous,14
6224,porwigle,8
6225,pory,4
6226,pose,4
6227,posed,5
6228,posing,6
6229,poser,5
6230,posied,6
6231,posingly,8
6232,posited,7
6233,positing,8
6234,posit,5
6235,position,8
6236,positional,10
6237,positive,8
6238,positively,10
6239,positiveness,12
6240,positivism,10
6241,positivist,10
6242,positivity,10
6243,positure,8
6244,posnet,6
6245,posologic,9
6246,posological,11
6247,posology,8
6248,pospolite,9
6249,poss,4
6250,posse,5
6251,possessed,9
6252,possessing,10
6253,possess,7
6254,possession,10
6255,possessionary,13
6256,possessioner,12
6257,possessival,11
6258,possessive,10
6259,possessively,12
6260,possessor,9
6261,possessory,10
6262,posset,6
6263,posseted,8
6264,posseting,9
6265,possibilities,13
6266,possibility,11
6267,possible,8
6268,possibly,8
6269,possum,6
6270,post,4
6271,posted,6
6272,posting,7
6273,postable,8
6274,postact,7
6275,postage,7
6276,postal,6
6277,postanal,8
6278,postaxial,9
6279,postboy,7
6280,postcavae,9
6281,postcava,8
6282,postclavicle,12
6283,postcommissure,14
6284,postcomminion,13
6285,postcornua,10
6286,postcornu,9
6287,postdated,9
6288,postdating,10
6289,postdate,8
6290,postdiluvial,12
6291,postdiluvian,12
6292,postea,6
6293,postel,6
6294,postencephalon,14
6295,postentry,9
6296,poster,6
6297,posterior,9
6298,posteriority,12
6299,posteriorly,11
6300,posteriors,10
6301,posterity,9
6302,postern,7
6303,postero,7
6304,postexist,9
6305,postexistence,13
6306,postexistent,12
6307,postfact,8
6308,postfactum,10
6309,postfixes,9
6310,postfix,7
6311,postfrontal,11
6312,postfurcae,10
6313,postfurca,9
6314,postgeniture,12
6315,postglenoid,11
6316,posthaste,9
6317,posthetomy,10
6318,posthouse,9
6319,posthume,8
6320,posthumed,9
6321,posthumous,10
6322,posthumously,12
6323,postic,6
6324,postticous,10
6325,postil,6
6326,postiled,8
6327,postilled,9
6328,postiling,9
6329,postilling,10
6330,postiler,8
6331,postilion,9
6332,postillate,10
6333,postillation,12
6334,postillator,11
6335,posttiller,10
6336,postliminiar,12
6337,postliminiary,13
6338,postliminium,12
6339,postliminy,10
6340,postlude,8
6341,postmen,7
6342,postman,7
6343,postmark,8
6344,postmarked,10
6345,postmarking,11
6346,postmaster,10
6347,postmastership,14
6348,postmeridian,12
6349,postnares,9
6350,postnatal,9
6351,postnate,8
6352,postnuptial,11
6353,postoblongata,13
6354,postocular,10
6355,postoral,8
6356,postorbital,11
6357,postpaid,8
6358,postpalatine,12
6359,postpliocene,12
6360,postponed,9
6361,postponing,10
6362,postpone,8
6363,postponement,12
6364,postponence,11
6365,postponer,9
6366,postposed,9
6367,postposing,10
6368,postpose,8
6369,postposit,9
6370,postposition,12
6371,postpositional,14
6372,postpositive,12
6373,postprandial,12
6374,postremogeniture,16
6375,postremote,10
6376,postrider,9
6377,postscapula,11
6378,postscapular,12
6379,postscenium,11
6380,postscribe,10
6381,postscript,10
6382,postscripted,12
6383,postscutellum,13
6384,postsphenoid,12
6385,posttertiary,12
6386,postulant,9
6387,postulate,9
6388,postulated,10
6389,postulating,11
6390,postulation,11
6391,postulatory,11
6392,postulata,9
6393,postulatum,10
6394,postumous,9
6395,postural,8
6396,posture,7
6397,postured,8
6398,posturing,9
6399,posturer,8
6400,postzygapophyses,16
6401,postzygapophysis,16
6402,posies,6
6403,posy,4
6404,pot,3
6405,potted,6
6406,potting,7
6407,potable,7
6408,potableness,11
6409,potage,6
6410,potager,7
6411,potagro,7
6412,potale,6
6413,potamian,8
6414,potamography,12
6415,potamology,10
6416,potamospongiae,14
6417,potance,7
6418,potargo,7
6419,potash,6
6420,potashes,8
6421,potassa,7
6422,potassamide,11
6423,pottassic,9
6424,potassium,9
6425,potassoxyl,10
6426,potation,8
6427,potatoes,8
6428,potato,6
6429,potator,7
6430,potatory,8
6431,potboiler,9
6432,potboy,6
6433,potch,5
6434,potcher,7
6435,potecary,8
6436,poteen,6
6437,potelot,7
6438,potence,7
6439,potency,7
6440,potent,6
6441,potentacy,9
6442,potentate,9
6443,potential,9
6444,potentiality,12
6445,potentially,11
6446,potentiated,11
6447,potentiating,12
6448,potentiate,10
6449,potentiometer,13
6450,potentized,10
6451,potentizing,11
6452,potentize,9
6453,potently,8
6454,potentness,10
6455,potestate,9
6456,potestative,11
6457,potgun,6
6458,pothecary,9
6459,potheen,7
6460,pother,6
6461,pothered,8
6462,pothering,9
6463,pothole,7
6464,pothook,7
6465,pothouse,8
6466,potichomania,12
6467,potichomanie,12
6468,potion,6
6469,potlid,6
6470,potluck,7
6471,potmen,6
6472,potman,6
6473,potoo,5
6474,potoroo,7
6475,potpie,6
6476,potpourri,9
6477,potshard,8
6478,potshare,8
6479,potsherd,8
6480,potstone,8
6481,pott,4
6482,pottage,7
6483,pottain,7
6484,potteen,7
6485,potter,6
6486,pottered,8
6487,pottering,9
6488,pottern,7
6489,potteries,9
6490,pottery,7
6491,pottle,6
6492,potto,5
6493,potulent,8
6494,pouch,5
6495,pouched,7
6496,pouching,8
6497,pouchong,8
6498,poudre,6
6499,poudrette,9
6500,poulaine,8
6501,pouldavis,9
6502,poulder,7
6503,pouldron,8
6504,poulp,5
6505,poulpe,6
6506,poult,5
6507,poulter,7
6508,poulterer,9
6509,poultice,8
6510,poulticed,9
6511,poulticing,10
6512,poultive,8
6513,poultry,7
6514,pounce,6
6515,pounded,7
6516,pouncing,8
6517,pounced,7
6518,pounding,8
6519,pound,5
6520,pounds,6
6521,poundage,8
6522,poundal,7
6523,poundcake,9
6524,pounder,7
6525,pound/keeper,12
6526,poundrate,9
6527,poup,4
6528,poupeton,8
6529,pour,4
6530,poured,6
6531,pouring,7
6532,poureliche,10
6533,pourer,6
6534,pourlieu,8
6535,pourparler,10
6536,pourparties,11
6537,pourparty,9
6538,pourpoint,9
6539,pourpresture,12
6540,poursuivant,11
6541,pourtray,8
6542,pourveyance,11
6543,pousse,6
6544,poussette,9
6545,pout,4
6546,pouted,6
6547,pouting,7
6548,pouter,6
6549,poutingly,9
6550,povert,6
6551,poverty,7
6552,powan,5
6553,powen,5
6554,powder,6
6555,powdered,8
6556,powdering,9
6557,powderflask,11
6558,powderhorn,10
6559,powdermill,10
6560,powdery,7
6561,powdike,7
6562,powdry,6
6563,power,5
6564,powerable,9
6565,powerful,8
6566,powerless,9
6567,powldron,8
6568,powp,4
6569,powter,6
6570,powpow,6
6571,powwow,6
6572,pox,3
6573,poxed,5
6574,poxing,6
6575,poy,3
6576,poynado,7
6577,poynd,5
6578,poynder,7
6579,poyntel,7
6580,poyou,5
6581,poze,4
6582,pozzuolana,10
6583,pozzolana,9
6584,praam,5
6585,practic,7
6586,practicability,14
6587,practicable,11
6588,practical,9
6589,practicality,12
6590,practically,11
6591,practicalness,13
6592,practicalize,12
6593,practice,8
6594,practiced,9
6595,practicing,10
6596,practicer,9
6597,practician,10
6598,practick,8
6599,practisant,10
6600,practise,8
6601,practisour,10
6602,practitioner,12
6603,practive,8
6604,prad,4
6605,praecava,8
6606,praecipe,8
6607,praecoces,9
6608,praecocial,10
6609,praecognita,11
6610,praecommissure,14
6611,praecoracoid,12
6612,praecordia,10
6613,praecordial,11
6614,praecornua,10
6615,praecornu,9
6616,praedial,8
6617,praefloration,13
6618,praefoliation,13
6619,praemaxilla,11
6620,praemolar,9
6621,praemorse,9
6622,praemunire,10
6623,praemnire,9
6624,praemunitory,12
6625,praenares,9
6626,praenasal,9
6627,praenomina,10
6628,praenomen,9
6629,praenominical,13
6630,praeoperculum,13
6631,praesternum,11
6632,praeterist,10
6633,praetermit,10
6634,praetextae,10
6635,praetextas,10
6636,praetexta,9
6637,praetor,7
6638,praetores,9
6639,praetorian,10
6640,praetorium,10
6641,praezygapophysis,16
6642,pragmatic,9
6643,pragmatical,11
6644,pragmatically,13
6645,pragmaticalness,15
6646,pragmatism,10
6647,pragmatist,10
6648,pragmatize,10
6649,prairial,8
6650,prairie,7
6651,praisable,9
6652,praisably,9
6653,praised,7
6654,praising,8
6655,praise,6
6656,praiseful,9
6657,praiseless,10
6658,praisement,10
6659,praiseer,8
6660,praiseworthily,14
6661,praiseworthiness,16
6662,praiseworthy,12
6663,prakrit,7
6664,prakritic,9
6665,pram,4
6666,prame,5
6667,pranced,7
6668,prancing,8
6669,prance,6
6670,prancer,7
6671,prandial,8
6672,prangos,7
6673,pranked,7
6674,pranking,8
6675,prank,5
6676,pranker,7
6677,prankish,8
6678,prase,5
6679,praseodymium,12
6680,praseolite,10
6681,prasinous,9
6682,prasoid,7
6683,prated,6
6684,prating,7
6685,prate,5
6686,prateful,8
6687,prater,6
6688,pratic,6
6689,pratincole,10
6690,pratingly,9
6691,pratique,8
6692,prattled,8
6693,prattling,9
6694,prattle,7
6695,prattlement,11
6696,prattler,8
6697,pravity,7
6698,prawn,5
6699,praxinoscope,12
6700,praxis,6
6701,pray,4
6702,prayed,6
6703,praying,7
6704,prayer,6
6705,prayerful,9
6706,prayerless,10
6707,prayingly,9
6708,preaccusation,13
6709,preace,6
6710,preached,8
6711,preaching,9
6712,preach,6
6713,preacher,8
6714,preachership,12
6715,preachify,9
6716,preachmen,9
6717,preachman,9
6718,preachment,10
6719,preacquaint,11
6720,preacquaintance,15
6721,preact,6
6722,preaction,9
6723,preadamic,9
6724,preadamite,10
6725,preadamitic,11
6726,preadjustment,13
6727,preadministration,17
6728,preadmonish,11
6729,preadmonition,13
6730,preadvertise,12
6731,preamble,8
6732,preambulary,11
6733,preambulate,11
6734,preambulation,13
6735,preambulatory,13
6736,preambulous,11
6737,preannounce,11
6738,preantenultimate,16
6739,preaortic,9
6740,preappoint,10
6741,preappointment,14
6742,preapprehension,15
6743,prearm,6
6744,prearrange,10
6745,prease,6
6746,preassurance,12
6747,preataxic,9
6748,preaudience,11
6749,preaxial,8
6750,prebend,7
6751,prebendal,9
6752,prebendary,10
6753,prebendaryship,14
6754,prebendate,10
6755,prebendship,11
6756,prebronchial,12
6757,precalculate,12
6758,precant,7
6759,precarious,10
6760,precation,9
6761,preative,8
6762,preatory,8
6763,precaution,10
6764,precautional,12
6765,precautionary,13
6766,precautious,11
6767,precedaneous,12
6768,preceded,8
6769,preceding,9
6770,precede,7
6771,precedence,10
6772,precedency,10
6773,precedent,9
6774,precedented,11
6775,precedential,12
6776,precedently,11
6777,precel,6
6778,precellence,11
6779,precellency,11
6780,precellent,10
6781,precentor,9
6782,precentorship,13
6783,precent,7
6784,precept,7
6785,preceptial,10
6786,preception,10
6787,preceptive,10
6788,preceptor,9
6789,preceptorial,12
6790,preceptory,10
6791,preceptories,12
6792,preceptress,11
6793,precession,10
6794,precessional,12
6795,precessor,9
6796,precinct,8
6797,preciosity,10
6798,precious,8
6799,preciously,10
6800,preciousness,12
6801,precipe,7
6802,precipice,9
6803,precipient,10
6804,precipitability,15
6805,precipitable,12
6806,precipitance,12
6807,precipitancy,12
6808,precipitant,11
6809,precipitantly,13
6810,precipitantness,15
6811,precipitate,11
6812,precipitated,12
6813,precipitating,13
6814,precipitately,13
6815,precipitation,13
6816,precipitator,12
6817,precipitious,12
6818,precipitous,11
6819,precis,6
6820,precise,7
6821,precisian,9
6822,precisianism,12
6823,precisianist,12
6824,precision,9
6825,precisive,9
6826,precluded,9
6827,precluding,10
6828,preclude,8
6829,preclusion,10
6830,preclusive,10
6831,precoce,7
6832,precoces,8
6833,precocious,10
6834,precociously,12
6835,precociousness,14
6836,precocity,9
6837,precoetanean,12
6838,precogitate,11
6839,precogita/tion,14
6840,precognition,12
6841,precognizable,13
6842,precognosce,11
6843,precollection,13
6844,precomposed,11
6845,precomposing,12
6846,precompose,10
6847,preconceit,10
6848,preconceived,12
6849,preconceiving,13
6850,preconceive,11
6851,preconception,13
6852,preconcerted,12
6853,preconcerting,13
6854,preconcert,10
6855,preconcertion,13
6856,precondemn,10
6857,precondition,12
6858,preconform,10
6859,preconformity,13
6860,preconizate,11
6861,preconization,13
6862,preconize,9
6863,preconquer,10
6864,preconscious,12
6865,preconsent,10
6866,preconsigned,12
6867,preconsigning,13
6868,preconsign,10
6869,preconsolidated,15
6870,preconstitute,13
6871,precontracted,13
6872,precontracting,14
6873,precontract,11
6874,precontrive,11
6875,precoracoid,11
6876,precordial,10
6877,precrural,9
6878,precurrer,9
6879,precurse,8
6880,precursive,10
6881,precursor,9
6882,precursorship,13
6883,precursory,10
6884,predacean,9
6885,predaceous,10
6886,predal,6
6887,predate,7
6888,predation,9
6889,predatorily,11
6890,predatory,9
6891,prede,5
6892,predecay,8
6893,predecease,10
6894,predecessive,12
6895,predecessor,11
6896,predeclare,10
6897,prededication,13
6898,predefine,9
6899,predeliberation,15
6900,predelineation,14
6901,predella,8
6902,predesign,9
6903,predesignate,12
6904,predestinarian,14
6905,predestinarianism,17
6906,predestinary,12
6907,predestinate,12
6908,predestinated,13
6909,predestinating,14
6910,predestination,14
6911,predestinative,14
6912,predestinator,13
6913,predestined,11
6914,predestining,12
6915,predestine,10
6916,predestiny,10
6917,predeterminable,15
6918,predeterminate,14
6919,predetermination,16
6920,predetermined,13
6921,predermining,12
6922,predetermine,12
6923,predial,7
6924,prediastolic,12
6925,predicability,13
6926,predicable,10
6927,predicament,11
6928,predicamental,13
6929,predicant,9
6930,predicated,10
6931,predicating,11
6932,predicate,9
6933,predication,11
6934,predicative,11
6935,predicatory,11
6936,predicrotic,11
6937,predicted,9
6938,predicting,10
6939,predict,7
6940,predictable,11
6941,prediction,10
6942,predictional,12
6943,predictive,10
6944,predictor,9
6945,predictory,10
6946,predigest,9
6947,predigestion,12
6948,predilect,9
6949,predilection,12
6950,prediscover,11
6951,prediscovery,12
6952,predisponency,13
6953,predisponent,12
6954,predisposed,11
6955,predisposing,12
6956,predispose,10
6957,predisposition,14
6958,predominance,12
6959,predominancy,12
6960,predominant,11
6961,predominantly,13
6962,predominated,12
6963,predominating,13
6964,predominate,11
6965,predomination,13
6966,predoom,7
6967,predorsal,9
6968,predy,5
6969,preedy,6
6970,preef,5
6971,preelect,8
6972,preelection,11
6973,preeminence,11
6974,preeminent,10
6975,preeminently,12
6976,preemploy,9
6977,preempted,9
6978,preempting,10
6979,preempt,7
6980,preemption,10
6981,preemptioner,12
6982,preemptive,10
6983,preemtor,8
6984,preemptory,10
6985,preen,5
6986,preened,7
6987,preening,8
6988,preengaged,10
6989,preengaging,11
6990,preengage,9
6991,preengagement,13
6992,preerect,8
6993,prees,5
6994,preestablish,12
6995,preestablishment,16
6996,preeternity,11
6997,preexamination,14
6998,preexamined,11
6999,preexamining,12
7000,preexamine,10
7001,preexisted,10
7002,preexisting,11
7003,preexist,8
7004,preexistence,12
7005,preexistency,12
7006,preexistent,11
7007,preexistentism,14
7008,preexistimation,15
7009,preexpectation,14
7010,preface,7
7011,prefaced,8
7012,prefacing,9
7013,prefacer,8
7014,prefatorial,11
7015,prefatorily,11
7016,prefatory,9
7017,prefect,7
7018,prefectorial,12
7019,prefectship,11
7020,prefecture,10
7021,prefecundation,14
7022,prefecundatory,14
7023,preferred,9
7024,preferring,10
7025,prefer,6
7026,preferability,13
7027,preferable,10
7028,preferableness,14
7029,preferably,10
7030,preference,10
7031,preferential,12
7032,preferment,10
7033,preferrer,9
7034,prefidence,10
7035,prefident,9
7036,prefigurate,11
7037,prefiguration,13
7038,prefigurative,13
7039,prefigured,10
7040,prefiguring,11
7041,prefigure,9
7042,prefigurement,13
7043,prefine,7
7044,prefinite,9
7045,prefinition,11
7046,prefixed,8
7047,prefixing,9
7048,prefix,6
7049,prefixion,9
7050,prefloration,12
7051,prefoliation,12
7052,preform,7
7053,preformation,12
7054,preformative,12
7055,prefrontal,10
7056,prefulgency,11
7057,pregage,7
7058,preglacial,10
7059,pregnable,9
7060,pregnance,9
7061,pregnancy,9
7062,pregnant,8
7063,pregnantly,10
7064,pregravate,10
7065,pregravitate,12
7066,pregustant,10
7067,pregustation,12
7068,prehallux,9
7069,prehend,7
7070,prehensile,10
7071,prehension,10
7072,prehensory,10
7073,prehistoric,11
7074,prehnite,8
7075,prehnitic,9
7076,preindesignate,14
7077,preindispose,12
7078,preinstructed,13
7079,preinstructing,14
7080,preinstruct,11
7081,preintimation,13
7082,prejudged,9
7083,prejudging,10
7084,prejudge,8
7085,prejudgment,11
7086,prejudicacy,11
7087,prejudical,10
7088,prejudicant,11
7089,prejudicate,11
7090,prejudicated,12
7091,prejudicating,13
7092,prejudicately,13
7093,prejudication,13
7094,prejudicative,13
7095,prejudice,9
7096,prejudiced,10
7097,prejudicing,11
7098,prejudicial,11
7099,preknowledge,12
7100,prelacies,9
7101,prelacy,7
7102,prelal,6
7103,prelate,7
7104,prelateity,10
7105,prelateship,11
7106,prelatess,9
7107,prelatial,9
7108,prelatic,8
7109,prelatical,10
7110,prelatically,12
7111,prelation,9
7112,prelatism,9
7113,prelatist,9
7114,prelatized,10
7115,prelatizing,11
7116,prelatize,9
7117,prelatry,8
7118,prelature,9
7119,prelatureship,13
7120,prelaty,7
7121,prelected,9
7122,prelecting,10
7123,prelect,7
7124,prelection,10
7125,prelector,9
7126,prelibation,11
7127,preliminarily,13
7128,preliminary,11
7129,preliminaries,13
7130,prelimit,8
7131,prelook,7
7132,prelude,7
7133,preluded,8
7134,preluding,9
7135,preluder,8
7136,preludial,9
7137,preludious,10
7138,prelumbar,9
7139,prelusive,9
7140,prelusorily,11
7141,prelusory,9
7142,premature,9
7143,prematurity,11
7144,premaxillae,11
7145,premaxilla,10
7146,premaxillary,12
7147,premediate,10
7148,premeditated,12
7149,premeditating,13
7150,premeditate,11
7151,premeditately,13
7152,premeditation,13
7153,premerit,8
7154,premial,7
7155,premiant,8
7156,premices,8
7157,premier,7
7158,premiership,11
7159,premillennial,13
7160,premious,8
7161,premises,8
7162,premise,7
7163,premised,8
7164,premising,9
7165,premiss,7
7166,premit,6
7167,premiums,8
7168,premium,7
7169,premolar,8
7170,premonished,11
7171,premonishing,12
7172,premonish,9
7173,premonishment,13
7174,premonition,11
7175,premonitor,10
7176,premonitory,11
7177,premonstrant,12
7178,premonstrate,12
7179,premonstratensian,17
7180,premonstration,14
7181,premonstrator,13
7182,premorse,8
7183,premosaic,9
7184,premotion,9
7185,premunire,9
7186,premunite,9
7187,premunition,11
7188,premunitory,11
7189,prenasal,8
7190,prenatal,8
7191,prender,7
7192,prenomen,8
7193,prenominal,10
7194,prenominate,11
7195,prenomination,13
7196,prenostic,9
7197,prenote,7
7198,prenotion,9
7199,prensation,10
7200,prentice,8
7201,prenticehood,12
7202,prenticeship,12
7203,prenunciation,13
7204,prenuncious,11
7205,preoblongata,12
7206,preobtain,9
7207,preoccupancy,12
7208,preoccupate,11
7209,preoccupation,13
7210,preoccupied,11
7211,preoccupying,12
7212,preoccupy,9
7213,preocular,9
7214,preominate,10
7215,preopercular,12
7216,preoperculum,12
7217,preopinion,10
7218,preoption,9
7219,preoral,7
7220,preorbital,10
7221,preordain,9
7222,preorder,8
7223,preordinance,12
7224,preordinate,11
7225,preordination,13
7226,preparable,10
7227,preparation,11
7228,preparative,11
7229,preparatively,13
7230,preparator,10
7231,preparatory,11
7232,prepare/,8
7233,preparing,9
7234,prepare,7
7235,prepared,8
7236,preparer,8
7237,prepaid,7
7238,prepaying,9
7239,prepay,6
7240,prepayment,10
7241,prepenial,9
7242,prepense,8
7243,prepensely,10
7244,prepollence,11
7245,prepollency,11
7246,prepollent,10
7247,prepollices,11
7248,preponder,9
7249,preponderance,13
7250,preponderancy,13
7251,preponderant,12
7252,preponderated,13
7253,preponderating,14
7254,preponderate,12
7255,preponderatingly,16
7256,preponderation,14
7257,prepose,7
7258,preposition,11
7259,prepositional,13
7260,prepositive,11
7261,prepositor,10
7262,prepositure,11
